Código,Nome Município,SC_BAHIA,TURISMO,CATEGORIA,Habitantes,Porcentagem de Casos
292275,Nova Ibiá,1,0,0,6986,0.0143143429716576
292280,Nova Itarana,7,0,0,8428,0.08305647840531562
292285,Nova Redenção,1,1,2,9500,0.010526315789473684
292290,Nova Soure,14,0,0,25460,0.05498821681068342
292300,Nova Viçosa,43,1,3,44052,0.09761191319349859
292303,Novo Horizonte,1,0,0,12514,0.00799105002397315
292305,Novo Triunfo,2,0,0,16037,0.01247116044147908
292310,Olindina,11,0,0,29227,0.03763643206624012
292320,Oliveira dos Brejinhos,2,0,0,22805,0.008770006577504933
292330,Ouriçangas,3,0,0,8916,0.033647375504710635
292335,Ourolândia,7,1,2,18025,0.038834951456310676
292340,Palmas de Monte Alto,1,0,0,22553,0.004433999911320002
292350,Palmeiras,0,1,3,9250,0.0
292360,Paramirim,1,1,2,22286,0.004487121959974872
292370,Paratinga,4,0,0,32967,0.0121333454666788
292380,Paripiranga,12,1,2,30075,0.0399002493765586
292390,Pau Brasil,2,1,2,10673,0.018738873793685
292400,Paulo Afonso,101,1,4,120706,0.0836743823836429
292405,Pé de Serra,0,0,0,14226,0.0
292410,Pedrão,2,0,0,7527,0.026571011026969578
292420,Pedro Alexandre,4,0,0,18209,0.02196715909714976
292430,Piatã,3,1,2,18267,0.016423057973394647
292440,Pilão Arcado,4,0,0,35740,0.01119194180190263
292450,Pindaí,0,0,0,16889,0.0
292460,Pindobaçu,10,1,2,21171,0.04723442444853809
292465,Pintadas,1,0,0,11012,0.009081002542680712
292467,Piraí do Norte,1,0,0,10411,0.009605225242531937
292470,Piripá,6,0,0,11849,0.05063718457253777
292480,Piritiba,2,0,0,25211,0.00793304509936139
292490,Planaltino,1,0,0,9582,0.010436234606553955
292500,Planalto,21,0,0,26915,0.07802340702210664
292510,Poções,22,0,0,48861,0.04502568510673134
292520,Pojuca,5,0,0,39718,0.012588750692381289
292525,Ponto Novo,5,0,0,15830,0.03158559696778269
292530,Porto Seguro,183,1,4,149324,0.12255230237604137
292540,Potiraguá,2,0,0,8438,0.02370229912301493
292550,Prado,27,1,4,29326,0.09206847166337039
292560,Presidente Dutra,4,0,0,15734,0.02542265158256006
292570,Presidente Jânio Quadros,2,0,0,13334,0.014999250037498125
292575,Presidente Tancredo Neves,10,0,0,28082,0.035609999287800016
292580,Queimadas,1,0,0,26552,0.003766194636938837
292590,Quijingue,1,0,0,28632,0.003492595697122101
292593,Quixabeira,1,1,2,9411,0.010625863351397301
292595,Rafael Jambeiro,3,0,0,23562,0.012732365673542145
292600,Remanso,12,1,2,42672,0.0281214848143982
292610,Retirolândia,2,0,0,14730,0.013577732518669382
292620,Riachão das Neves,11,0,0,23313,0.04718397460644276
292630,Riachão do Jacuípe,3,0,0,34784,0.008624655013799448
292640,Riacho de Santana,4,0,0,36439,0.010977249650100168
292650,Ribeira do Amparo,2,0,0,15443,0.012950851518487341
292660,Ribeira do Pombal,5,0,0,54965,0.009096697898662786
292665,Ribeirão do Largo,5,0,0,7437,0.06723141051499261
292670,Rio de Contas,0,1,3,13712,0.0
292680,Rio do Antônio,0,0,0,15804,0.0
292690,Rio do Pires,1,0,0,12130,0.008244023083264633
292700,Rio Real,42,0,0,41767,0.10055785668111188
292710,Rodelas,9,0,0,9405,0.09569377990430622
292720,Ruy Barbosa,9,0,0,32009,0.028117092067855915
292730,Salinas da Margarida,8,1,3,15772,0.0507227998985544
292740,Salvador,3736,1,4,2953986,0.12647317895210064
292750,Santa Bárbara,18,0,0,21415,0.08405323371468597
292760,Santa Brígida,1,1,2,14976,0.006677350427350427
292770,Santa Cruz Cabrália,42,1,4,28552,0.14710002801905295
292780,Santa Cruz da Vitória,2,0,0,6698,0.029859659599880562
292790,Santa Inês,4,1,2,11161,0.0358390825194875
292805,Santa Luzia,2,1,2,13398,0.014927601134497686
292810,Santa Maria da Vitória,9,1,3,41769,0.021547080370609782
292840,Santa Rita de Cássia,11,1,3,29146,0.03774102792836067
292850,Santa Teresinha,3,1,2,10682,0.028084628346751545
292800,Santaluz,11,0,0,38422,0.02862943105512467
292820,Santana,1,0,0,27492,0.0036374217954313983
292830,Santanópolis,2,0,0,9263,0.021591277124041887
292860,Santo Amaro,28,1,3,61961,0.04518971611174771
292870,Santo Antônio de Jesus,59,0,0,103342,0.05709198583344623
292880,Santo Estêvão,31,1,2,53898,0.057516048832980816
292890,São Desidério,4,1,2,33661,0.01188318825941
292895,São Domingos,0,0,0,9404,0.0
292910,São Felipe,3,0,0,21964,0.013658714259697688
292900,São Félix,3,1,2,15310,0.019595035924232528
292905,São Félix do Coribe,5,1,2,15825,0.0315955766192733
292920,São Francisco do Conde,28,1,2,40220,0.069617105917454
292925,São Gabriel,6,0,0,19613,0.03059195431601489
292930,São Gonçalo dos Campos,44,0,0,38018,0.11573465200694408
292935,São José da Vitória,4,1,2,6045,0.06617038875103391
292937,São José do Jacuípe,5,0,0,10784,0.046364985163204746
292940,São Miguel das Matas,3,0,0,12092,0.02480979159775058
292950,São Sebastião do Passé,27,0,0,45827,0.05891723219935846
292960,Sapeaçu,4,0,0,18114,0.02208236722976703
292970,Sátiro Dias,2,0,0,20429,0.009790004405501982
292975,Saubara,7,1,3,12380,0.05654281098546042
292980,Saúde,6,0,0,13385,0.04482629809488233
292990,Seabra,2,1,3,45568,0.004389044943820225
293000,Sebastião Laranjeiras,2,0,0,11696,0.01709986320109439
293010,Senhor do Bonfim,69,1,3,81218,0.08495653672831145
293020,Sento Sé,28,1,2,41891,0.06684013272540641
293015,Serra do Ramalho,4,0,0,32991,0.0121245188081598
293030,Serra Dourada,0,0,0,18320,0.0
293040,Serra Preta,10,0,0,16036,0.062359690695934146
293050,Serrinha,17,0,0,83088,0.020460234931638746
293060,Serrolândia,3,0,0,13832,0.021688837478311164
293070,Simões Filho,140,1,3,136050,0.10290334435869165
293075,Sítio do Mato,1,0,0,13437,0.007442137381856069
293076,Sítio do Quinto,0,0,0,11283,0.0
293077,Sobradinho,43,1,2,23713,0.1813351326276726
293080,Souto Soares,4,0,0,17503,0.022853225161400904
293090,Tabocas do Brejo Velho,0,0,0,13057,0.0
293100,Tanhaçu,4,0,0,21315,0.018766127140511377
293105,Tanque Novo,1,0,0,17884,0.005591590248266607
293110,Tanquinho,7,0,0,8232,0.08503401360544217
293120,Taperoá,4,1,2,21462,0.018637592023110616
293130,Tapiramutá,9,0,0,17845,0.050434295320818154
293135,Teixeira de Freitas,316,1,4,161690,0.19543571030985218
293140,Teodoro Sampaio,2,0,0,7936,0.025201612903225805
293150,Teofilândia,8,0,0,23378,0.03422020703225254
293160,Teolândia,2,0,0,15357,0.013023376961646155
293170,Terra Nova,10,0,0,13536,0.07387706855791962
293180,Tremedal,4,0,0,17700,0.022598870056497175
293190,Tucano,6,1,3,52540,0.011419870574800152
293200,Uauá,24,1,2,25773,0.09312070771737865
293210,Ubaíra,5,1,2,20800,0.02403846153846154
293220,Ubaitaba,9,0,0,20489,0.043926009078041874
293230,Ubatã,11,0,0,27527,0.03996076579358448
293240,Uibaí,5,0,0,14474,0.0345447008428907
293245,Umburanas,2,0,0,19522,0.010244851961889151
293250,Una,10,1,4,21331,0.04688012751394684
293260,Urandi,0,0,0,17356,0.0
293260,Uruçuca,26,1,3,21711,0.11975496292202109
293280,Utinga,6,1,2,19780,0.030333670374115267
293290,Valença,27,1,4,98749,0.027342049033407933
293300,Valente,7,0,0,28743,0.024353755697039278
293305,Várzea da Roça,5,0,0,14662,0.03410175965079798
293310,Várzea do Poço,0,0,0,9449,0.0
293315,Várzea Nova,11,0,0,13454,0.0817600713542441
293317,Varzedo,5,1,2,9375,0.05333333333333334
293320,Vera Cruz,24,1,4,43640,0.054995417048579284
293325,Vereda,5,0,0,6620,0.0755287009063444
293330,Vitória da Conquista,173,1,4,348718,0.049610286822016646
293340,Wagner,1,0,0,9753,0.010253255408592229
293345,Wanderley,1,0,0,12935,0.007730962504831852
293350,Wenceslau Guimarães,7,0,0,22365,0.03129890453834116
293360,Xique-Xique,31,0,0,48365,0.06409593714462938
