Código,Nome Município,SC_BAHIA,TURISMO,CATEGORIA,Habitantes,Porcentagem de Casos
292510,Poções,22,0,0,48861,0.0450256851067313
292520,Pojuca,5,0,0,39718,0.0125887506923813
292525,Ponto Novo,5,0,0,15830,0.0315855969677827
292530,Porto Seguro,183,1,5,149324,0.122552302376041
292540,Potiraguá,2,0,0,8438,0.0237022991230149
292550,Prado,27,1,4,29326,0.0920684716633704
292560,Presidente Dutra,4,0,0,15734,0.0254226515825601
292570,Presidente Jânio Quadros,2,0,0,13334,0.0149992500374981
292575,Presidente Tancredo Neves,10,0,0,28082,0.0356099992878
292580,Queimadas,1,0,0,26552,0.00376619463693884
292590,Quijingue,1,0,0,28632,0.0034925956971221
292593,Quixabeira,1,1,1,9411,0.0106258633513973
292595,Rafael Jambeiro,3,0,0,23562,0.0127323656735421
292600,Remanso,12,1,2,42672,0.0281214848143982
292610,Retirolândia,2,0,0,14730,0.0135777325186694
292620,Riachão das Neves,11,0,0,23313,0.0471839746064428
292630,Riachão do Jacuípe,3,0,0,34784,0.00862465501379945
292640,Riacho de Santana,4,0,0,36439,0.0109772496501002
292650,Ribeira do Amparo,2,0,0,15443,0.0129508515184873
292660,Ribeira do Pombal,5,0,0,54965,0.00909669789866279
292665,Ribeirão do Largo,5,0,0,7437,0.0672314105149926
292670,Rio de Contas,0,1,3,13712,0.0
292680,Rio do Antônio,0,0,0,15804,0.0
292690,Rio do Pires,1,0,0,12130,0.00824402308326463
292700,Rio Real,42,0,0,41767,0.100557856681112
292710,Rodelas,9,0,0,9405,0.0956937799043062
292720,Ruy Barbosa,9,0,0,32009,0.0281170920678559
292730,Salinas da Margarida,8,1,3,15772,0.0507227998985544
292740,Salvador,3736,1,5,2953986,0.126473178952101
292750,Santa Bárbara,18,0,0,21415,0.084053233714686
292760,Santa Brígida,1,1,2,14976,0.00667735042735043
292770,Santa Cruz Cabrália,42,1,4,28552,0.147100028019053
292780,Santa Cruz da Vitória,2,0,0,6698,0.0298596595998806
292790,Santa Inês,4,1,2,11161,0.0358390825194875
292805,Santa Luzia,2,1,2,13398,0.0149276011344977
292810,Santa Maria da Vitória,9,1,3,41769,0.0215470803706098
292840,Santa Rita de Cássia,11,1,3,29146,0.0377410279283607
292850,Santa Teresinha,3,1,2,10682,0.0280846283467515
292800,Santaluz,11,0,0,38422,0.0286294310551247
292820,Santana,1,0,0,27492,0.0036374217954314
292830,Santanópolis,2,0,0,9263,0.0215912771240419
292860,Santo Amaro,28,1,3,61961,0.0451897161117477
292870,Santo Antônio de Jesus,59,0,0,103342,0.0570919858334462
292880,Santo Estêvão,31,1,2,53898,0.0575160488329808
292890,São Desidério,4,1,2,33661,0.01188318825941
292895,São Domingos,0,0,0,9404,0.0
292910,São Felipe,3,0,0,21964,0.0136587142596977
292900,São Félix,3,1,2,15310,0.0195950359242325
292905,São Félix do Coribe,5,1,2,15825,0.0315955766192733
292920,São Francisco do Conde,28,1,2,40220,0.069617105917454
292925,São Gabriel,6,0,0,19613,0.0305919543160149
292930,São Gonçalo dos Campos,44,0,0,38018,0.115734652006944
292935,São José da Vitória,4,1,2,6045,0.0661703887510339
292937,São José do Jacuípe,5,0,0,10784,0.0463649851632048
292940,São Miguel das Matas,3,0,0,12092,0.0248097915977506
292950,São Sebastião do Passé,27,0,0,45827,0.0589172321993585
292960,Sapeaçu,4,0,0,18114,0.022082367229767
292970,Sátiro Dias,2,0,0,20429,0.00979000440550198
292975,Saubara,7,1,3,12380,0.0565428109854604
292980,Saúde,6,0,0,13385,0.0448262980948823
292990,Seabra,2,1,3,45568,0.00438904494382023
293000,Sebastião Laranjeiras,2,0,0,11696,0.0170998632010944
